a_id,b_id,group_id
217,217,36
218,218,23
219,219,26
220,220,56
221,221,43
222,222,15
223,223,1
224,224,48
225,225,23
226,226,43
227,227,7
228,228,51
229,229,42
230,230,3
231,231,13
232,232,39
233,233,11
234,234,19
235,235,30
236,236,8
237,237,24
238,238,39
239,239,24
240,240,26
241,241,47
242,242,35
243,243,58
244,244,6
245,245,29
246,246,45
247,247,29
248,248,58
249,249,12
250,250,33
251,251,34
252,252,1
253,253,31
254,254,27
255,255,13
256,256,9
257,257,31
258,258,22
259,259,4
260,260,40
261,261,52
262,262,8
263,263,35
264,264,54
265,265,37
266,266,53
267,267,12
268,268,32
269,269,35
270,270,55
271,271,7
272,272,1
273,273,57
274,274,36
275,275,17
276,276,55
277,277,35
278,278,6
279,279,36
280,280,24
281,281,17
282,282,3
283,283,26
284,284,17
285,285,40
286,286,40
287,287,24
288,288,30
289,289,6
290,290,46
291,291,22
292,292,22
293,293,48
294,294,8
295,295,39
296,296,21
297,297,27
298,298,30
299,299,57
300,300,43
301,301,31
302,302,53
303,303,13
304,304,29
305,305,2
306,306,38
307,307,37
308,308,6
309,309,4
310,310,51
311,311,1
312,312,42
313,313,22
314,314,55
315,315,59
316,316,29
317,317,54
318,318,36
319,319,27
320,320,48
321,321,51
322,322,44
323,323,23
324,324,45
325,325,16
326,326,41
327,327,43
328,328,5
329,329,0
330,330,33
331,331,39
332,332,23
333,333,5
334,334,22
335,335,29
336,336,27
337,337,1
338,338,9
339,339,28
340,340,26
341,341,54
342,342,40
343,343,59
344,344,45
345,345,5
346,346,57
347,347,43
348,348,9
349,349,10
350,350,11
351,351,39
352,352,20
353,353,35
354,354,6
355,355,47
356,356,56
357,357,58
358,358,10
359,359,28
360,360,40
361,361,8
362,362,34
363,363,5
364,364,48
365,365,8
366,366,42
367,367,40
368,368,39
369,369,51
370,370,20
371,371,15
372,372,32
373,373,42
374,374,5
375,375,4
376,376,19
377,377,20
378,378,11
379,379,5
380,380,10
381,381,17
382,382,50
383,383,51
384,384,55
385,385,46
386,386,0
387,387,30
388,388,53
389,389,32
390,390,23
391,391,24
392,392,25
393,393,16
394,394,49
395,395,27
396,396,10
397,397,23
398,398,57
399,399,15
400,400,0
401,401,54
402,402,25
403,403,5
404,404,18
405,405,1
406,406,51
407,407,23
408,408,30
409,409,15
410,410,31
411,411,40
412,412,52
413,413,8
414,414,52
415,415,31
416,416,20
417,417,32
418,418,3
419,419,7
420,420,48
421,421,15
422,422,59
423,423,39
424,424,30
425,425,17
426,426,11
427,427,10
428,428,27
429,429,22
430,430,0
431,431,36
432,432,37
433,433,25
434,434,38
435,435,24
436,436,36
437,437,58
438,438,30
439,439,19
440,440,22
441,441,24
442,442,30
443,443,34
444,444,36
445,445,20
446,446,45
447,447,32
448,448,19
449,449,25
450,450,42
451,451,24
452,452,11
453,453,0
454,454,50
455,455,52
456,456,40
457,457,59
458,458,20
459,459,33
460,460,35
461,461,38
462,462,18
463,463,53
464,464,21
465,465,50
466,466,11
467,467,37
468,468,39
469,469,9
470,470,42
471,471,33
472,472,46
473,473,54
474,474,39
475,475,42
476,476,33
477,477,59
478,478,12
479,479,18
480,480,20
481,481,31
482,482,51
483,483,2
484,484,10
485,485,53
486,486,2
487,487,28
488,488,59
489,489,0
490,490,44
491,491,45
492,492,31
493,493,25
494,494,35
495,495,0
496,496,9
497,497,55
498,498,54
499,499,40
500,500,16
501,501,8
502,502,56
503,503,38
504,504,37
505,505,40
506,506,23
507,507,39
508,508,16
509,509,27
510,510,32
511,511,44
512,512,32
513,513,50
514,514,12
515,515,15
516,516,55
517,517,11
518,518,21
519,519,52
520,520,0
521,521,14
522,522,54
523,523,21
524,524,59
525,525,48
526,526,20
527,527,5
528,528,58
529,529,28
530,530,1
531,531,33
532,532,49
533,533,12
534,534,42
535,535,44
536,536,40
537,537,48
538,538,14
539,539,13
540,540,56
541,541,24
542,542,50
543,543,53
544,544,24
545,545,58
546,546,14
547,547,51
548,548,29
549,549,27
550,550,43
551,551,57
552,552,44
553,553,41
554,554,5
555,555,49
556,556,33
557,557,5
558,558,15
559,559,32
560,560,18
561,561,36
562,562,48
563,563,56
564,564,45
565,565,24
566,566,7
567,567,3
568,568,7
569,569,38
570,570,48
571,571,59
572,572,12
573,573,53
574,574,46
575,575,53
576,576,34
577,577,32
578,578,19
579,579,14
580,580,28
581,581,11
582,582,56
583,583,29
584,584,15
585,585,41
586,586,37
587,587,9
588,588,21
589,589,59
590,590,40
591,591,32
592,592,23
593,593,46
594,594,9
595,595,9
596,596,2
597,597,5
598,598,37
599,599,20
600,600,42
601,601,30
602,602,16
603,603,58
604,604,48
605,605,30
606,606,6
607,607,38
608,608,13
609,609,32
610,610,9
611,611,36
612,612,50
613,613,44
614,614,2
615,615,2
616,616,24
617,617,36
618,618,19
619,619,4
620,620,59
621,621,20
622,622,18
623,623,3
624,624,46
625,625,2
626,626,50
627,627,4
628,628,22
629,629,12
630,630,19
631,631,36
632,632,25
633,633,55
634,634,24
635,635,0
636,636,58
637,637,17
638,638,51
639,639,30
640,640,10
641,641,50
642,642,56
643,643,19
644,644,30
645,645,6
646,646,41
647,647,29
648,648,19
649,649,33
650,650,7
651,651,54
652,652,12
653,653,17
654,654,9
655,655,8
656,656,14
657,657,7
658,658,12
659,659,2
660,660,37
661,661,53
662,662,3
663,663,58
664,664,25
665,665,58
666,666,49
667,667,1
668,668,36
669,669,9
670,670,43
671,671,40
672,672,32
673,673,56
674,674,38
675,675,38
676,676,42
677,677,8
678,678,57
679,679,1
680,680,19
681,681,2
682,682,16
683,683,50
684,684,18
685,685,33
686,686,51
687,687,11
688,688,55
689,689,54
690,690,42
691,691,9
692,692,55
693,693,29
694,694,16
695,695,40
696,696,57
697,697,40
698,698,0
699,699,36
700,700,17
701,701,45
702,702,41
703,703,53
704,704,42
705,705,17
706,706,18
707,707,41
708,708,36
709,709,36
710,710,6
711,711,13
712,712,37
713,713,18
714,714,59
715,715,32
716,716,5
717,717,10
718,718,49
719,719,39
720,720,5
721,721,23
722,722,8
723,723,54
724,724,46
725,725,9
726,726,55
727,727,59
728,728,44
729,729,4
730,730,24
731,731,37
732,732,26
733,733,7
734,734,41
735,735,19
736,736,31
737,737,23
738,738,12
739,739,11
740,740,12
741,741,26
742,742,31
743,743,5
744,744,41
745,745,34
746,746,27
747,747,19
748,748,18
749,749,52
750,750,4
751,751,17
752,752,32
753,753,16
754,754,17
755,755,55
756,756,8
757,757,24
758,758,16
759,759,0
760,760,30
761,761,50
762,762,48
763,763,4
764,764,38
765,765,23
766,766,24
767,767,4
768,768,21
769,769,48
770,770,39
771,771,58
772,772,53
773,773,8
774,774,8
775,775,35
776,776,13
777,777,56
778,778,13
779,779,35
780,780,49
781,781,28
782,782,54
783,783,8
784,784,26
785,785,25
786,786,26
787,787,20
788,788,19
789,789,30
790,790,13
791,791,11
792,792,13
793,793,10
794,794,3
795,795,4
796,796,53
797,797,0
798,798,50
799,799,41
800,800,0
801,801,38
802,802,3
803,803,10
804,804,30
805,805,57
806,806,24
807,807,20
808,808,58
809,809,24
810,810,0
811,811,15
812,812,17
813,813,19
814,814,23
815,815,8
816,816,56
817,817,43
818,818,16
819,819,35
820,820,3
821,821,44
822,822,0
823,823,22
824,824,20
825,825,9
826,826,24
827,827,22
828,828,49
829,829,12
830,830,25
831,831,58
832,832,10
833,833,54
834,834,7
835,835,8
836,836,13
837,837,59
838,838,14
839,839,39
840,840,2
841,841,2
842,842,6
843,843,15
844,844,59
845,845,46
846,846,59
847,847,47
848,848,56
849,849,10
850,850,4
851,851,2
852,852,59
853,853,27
854,854,1
855,855,20
856,856,59
857,857,9
858,858,40
859,859,30
860,860,26
861,861,18
862,862,0
863,863,41
864,864,21
865,865,35
866,866,42
867,867,49
868,868,40
869,869,54
870,870,5
871,871,41
872,872,36
873,873,17
874,874,38
875,875,30
876,876,6
877,877,58
878,878,25
879,879,14
880,880,38
881,881,54
882,882,55
883,883,38
884,884,58
885,885,8
886,886,24
887,887,17
888,888,23
889,889,21
890,890,44
891,891,1
892,892,33
893,893,19
894,894,0
895,895,22
896,896,58
897,897,24
898,898,0
899,899,33
900,900,47
901,901,55
902,902,58
903,903,55
904,904,56
905,905,15
906,906,46
907,907,4
908,908,13
909,909,32
910,910,36
911,911,16
912,912,11
913,913,24
914,914,50
915,915,35
916,916,52
917,917,3
918,918,52
919,919,2
920,920,22
921,921,19
922,922,47
923,923,44
924,924,25
925,925,40
926,926,48
927,927,37
928,928,1
929,929,56
930,930,2
931,931,25
932,932,4
933,933,54
934,934,12
935,935,39
936,936,24
937,937,38
938,938,9
939,939,34
940,940,8
941,941,10
942,942,20
943,943,43
944,944,27
945,945,3
946,946,26
947,947,58
948,948,20
949,949,17
950,950,37
951,951,50
952,952,47
953,953,29
954,954,0
955,955,45
956,956,19
957,957,58
958,958,15
959,959,28
960,960,2
961,961,11
962,962,37
963,963,34
964,964,29
965,965,35
966,966,45
967,967,16
968,968,17
969,969,56
970,970,33
971,971,33
972,972,52
973,973,8
974,974,38
975,975,9
976,976,5
977,977,18
978,978,34
979,979,19
980,980,31
981,981,35
982,982,34
983,983,11
984,984,20
985,985,1
986,986,4
987,987,30
988,988,22
989,989,1
990,990,4
991,991,47
992,992,38
993,993,4
994,994,42
995,995,6
996,996,24
997,997,40
998,998,49
999,999,45
1000,1000,16
1001,1001,57
1002,1002,8
1003,1003,1
1004,1004,39
1005,1005,30
1006,1006,51
1007,1007,5
1008,1008,8
1009,1009,47
1010,1010,27
1011,1011,43
1012,1012,21
1013,1013,36
1014,1014,27
1015,1015,37
1016,1016,12
1017,1017,26
1018,1018,56
1019,1019,36
1020,1020,14
1021,1021,58
1022,1022,10
1023,1023,54
1024,1024,35
1025,1025,51
1026,1026,8
1027,1027,51
1028,1028,58
1029,1029,7
1030,1030,8
1031,1031,12
1032,1032,52
1033,1033,55
1034,1034,43
1035,1035,20
1036,1036,20
1037,1037,40
1038,1038,30
1039,1039,37
1040,1040,46
1041,1041,13
1042,1042,38
1043,1043,17
1044,1044,53
1045,1045,3
1046,1046,55
1047,1047,21
1048,1048,43
1049,1049,16
1050,1050,31
1051,1051,52
1052,1052,26
1053,1053,1
1054,1054,52
1055,1055,32
1056,1056,48
1057,1057,35
1058,1058,1
1059,1059,48
1060,1060,17
1061,1061,43
1062,1062,50
1063,1063,22
1064,1064,30
1065,1065,17
1066,1066,44
1067,1067,30
1068,1068,35
1069,1069,1
1070,1070,54
1071,1071,22
1072,1072,23
1073,1073,9
1074,1074,46
1075,1075,59
1076,1076,57
1077,1077,26
1078,1078,7
1079,1079,13
1080,1080,30
1081,1081,19
1082,1082,9
1083,1083,55
1084,1084,9
1085,1085,53
1086,1086,7
1087,1087,38
1088,1088,39
1089,1089,19
1090,1090,10
1091,1091,10
1092,1092,38
1093,1093,41
1094,1094,10
1095,1095,10
1096,1096,58
1097,1097,24
1098,1098,47
1099,1099,20
1100,1100,10
1101,1101,25
1102,1102,43
1103,1103,47
1104,1104,38
1105,1105,51
1106,1106,15
1107,1107,44
1108,1108,48
1109,1109,37
1110,1110,12
1111,1111,5
1112,1112,47
1113,1113,53
1114,1114,4
1115,1115,20
1116,1116,15
1117,1117,50
1118,1118,48
1119,1119,6
1120,1120,38
1121,1121,32
1122,1122,2
1123,1123,10
1124,1124,2
1125,1125,48
1126,1126,52
1127,1127,31
1128,1128,45
1129,1129,1
1130,1130,0
1131,1131,36
1132,1132,20
1133,1133,23
1134,1134,39
1135,1135,32
1136,1136,34
1137,1137,41
1138,1138,16
1139,1139,8
1140,1140,6
1141,1141,49
1142,1142,28
1143,1143,18
1144,1144,55
1145,1145,10
1146,1146,7
1147,1147,4
1148,1148,48
1149,1149,14
1150,1150,2
1151,1151,22
1152,1152,31
1153,1153,5
1154,1154,31
1155,1155,44
1156,1156,27
1157,1157,51
1158,1158,26
1159,1159,7
1160,1160,22
1161,1161,38
1162,1162,36
1163,1163,56
1164,1164,50
1165,1165,26
1166,1166,29
1167,1167,9
1168,1168,59
1169,1169,19
1170,1170,34
1171,1171,17
1172,1172,35
1173,1173,33
1174,1174,16
1175,1175,53
1176,1176,55
1177,1177,44
1178,1178,9
1179,1179,54
1180,1180,45
1181,1181,46
1182,1182,41
1183,1183,25
1184,1184,19
1185,1185,5
1186,1186,43
1187,1187,20
1188,1188,57
1189,1189,56
1190,1190,19
1191,1191,13
1192,1192,31
1193,1193,33
1194,1194,3
1195,1195,10
1196,1196,3
1197,1197,29
1198,1198,42
1199,1199,5
1200,1200,45
1201,1201,26
1202,1202,19
1203,1203,22
1204,1204,12
1205,1205,49
1206,1206,32
1207,1207,29
1208,1208,10
1209,1209,15
1210,1210,52
1211,1211,27
1212,1212,20
1213,1213,18
1214,1214,9
1215,1215,35
1216,1216,39
1217,1217,14
1218,1218,34
1219,1219,16
1220,1220,2
1221,1221,25
1222,1222,31
1223,1223,19
1224,1224,43
1225,1225,38
1226,1226,38
1227,1227,22
1228,1228,23
1229,1229,49
1230,1230,53
1231,1231,42
1232,1232,39
1233,1233,2
1234,1234,53
1235,1235,2
1236,1236,9
1237,1237,27
1238,1238,23
1239,1239,20
1240,1240,24
1241,1241,41
1242,1242,17
1243,1243,49
1244,1244,0
1245,1245,10
1246,1246,41
1247,1247,41
1248,1248,6
1249,1249,47
1250,1250,44
1251,1251,11
1252,1252,5
1253,1253,11
1254,1254,43
1255,1255,46
1256,1256,26
1257,1257,32
1258,1258,32
1259,1259,29
1260,1260,4
1261,1261,25
1262,1262,20
1263,1263,51
1264,1264,5
1265,1265,0
1266,1266,34
1267,1267,30
1268,1268,49
1269,1269,50
1270,1270,37
1271,1271,29
1272,1272,28
1273,1273,3
1274,1274,43
1275,1275,31
1276,1276,36
1277,1277,2
1278,1278,29
1279,1279,27
1280,1280,13
1281,1281,59
1282,1282,19
1283,1283,1
1284,1284,54
1285,1285,52
1286,1286,36
1287,1287,16
1288,1288,32
1289,1289,17
1290,1290,59
1291,1291,26
1292,1292,48
1293,1293,59
1294,1294,20
1295,1295,22
1296,1296,50
1297,1297,56
1298,1298,14
1299,1299,41
1300,1300,26
1301,1301,50
1302,1302,38
1303,1303,58
1304,1304,2
1305,1305,52
1306,1306,49
1307,1307,1
1308,1308,36
1309,1309,17
1310,1310,15
1311,1311,5
1312,1312,20
1313,1313,36
1314,1314,25
1315,1315,12
1316,1316,43
1317,1317,39
1318,1318,39
1319,1319,3
1320,1320,9
1321,1321,20
1322,1322,35
1323,1323,49
1324,1324,7
1325,1325,36
1326,1326,4
1327,1327,29
1328,1328,10
1329,1329,0
1330,1330,38
1331,1331,45
1332,1332,47
1333,1333,10
1334,1334,51
1335,1335,29
1336,1336,39
1337,1337,13
1338,1338,26
1339,1339,40
1340,1340,28
1341,1341,9
1342,1342,11
1343,1343,31
1344,1344,45
1345,1345,43
1346,1346,56
1347,1347,19
1348,1348,55
1349,1349,34
1350,1350,42
1351,1351,40
1352,1352,1
1353,1353,46
1354,1354,4
1355,1355,38
1356,1356,43
1357,1357,8
1358,1358,46
1359,1359,59
1360,1360,21
1361,1361,55
1362,1362,26
1363,1363,31
1364,1364,31
1365,1365,36
1366,1366,13
1367,1367,16
1368,1368,40
1369,1369,49
1370,1370,22
1371,1371,24
1372,1372,23
1373,1373,38
1374,1374,19
1375,1375,30
1376,1376,49
1377,1377,35
1378,1378,33
1379,1379,13
1380,1380,28
1381,1381,3
1382,1382,8
1383,1383,9
1384,1384,44
1385,1385,42
1386,1386,45
1387,1387,31
1388,1388,2
1389,1389,34
1390,1390,45
1391,1391,13
1392,1392,21
1393,1393,4
1394,1394,12
1395,1395,24
1396,1396,52
1397,1397,47
1398,1398,20
1399,1399,18
1400,1400,31
1401,1401,33
1402,1402,56
1403,1403,58
1404,1404,0
1405,1405,23
1406,1406,53
1407,1407,45
1408,1408,10
1409,1409,28
1410,1410,27
1411,1411,57
1412,1412,36
1413,1413,13
1414,1414,31
1415,1415,32
1416,1416,21
1417,1417,43
1418,1418,28
1419,1419,22
1420,1420,1
1421,1421,50
1422,1422,45
1423,1423,12
1424,1424,8
1425,1425,30
1426,1426,57
1427,1427,4
1428,1428,57
1429,1429,52
1430,1430,18
1431,1431,26
1432,1432,33
1433,1433,1
1434,1434,5
1435,1435,32
1436,1436,50
1437,1437,53
1438,1438,5
1439,1439,14
1440,1440,36
1441,1441,39
1442,1442,5
1443,1443,1
1444,1444,7
1445,1445,18
1446,1446,37
1447,1447,0
1448,1448,43
1449,1449,6
1450,1450,58
1451,1451,36
1452,1452,9
1453,1453,46
1454,1454,29
1455,1455,58
1456,1456,28
1457,1457,26
1458,1458,9
1459,1459,49
1460,1460,55
1461,1461,36
1462,1462,51
1463,1463,51
1464,1464,21
1465,1465,40
1466,1466,21
1467,1467,6
1468,1468,40
1469,1469,29
1470,1470,10
1471,1471,54
1472,1472,52
1473,1473,48
1474,1474,13
1475,1475,32
1476,1476,55
1477,1477,52
1478,1478,48
1479,1479,59
1480,1480,47
1481,1481,43
1482,1482,59
1483,1483,16
1484,1484,22
1485,1485,0
1486,1486,55
1487,1487,43
1488,1488,32
1489,1489,43
1490,1490,39
1491,1491,40
1492,1492,40
1493,1493,13
1494,1494,23
1495,1495,4
1496,1496,44
1497,1497,52
1498,1498,28
1499,1499,51
1500,1500,43
1501,1501,25
1502,1502,13
1503,1503,27
1504,1504,44
1505,1505,41
1506,1506,40
1507,1507,48
1508,1508,25
1509,1509,14
1510,1510,28
1511,1511,20
1512,1512,20
1513,1513,22
1514,1514,31
1515,1515,14
1516,1516,54
1517,1517,51
1518,1518,7
1519,1519,5
1520,1520,55
1521,1521,56
1522,1522,3
1523,1523,2
1524,1524,39
1525,1525,14
1526,1526,53
1527,1527,45
1528,1528,16
1529,1529,28
1530,1530,48
1531,1531,8
1532,1532,25
1533,1533,27
1534,1534,45
1535,1535,7
1536,1536,4
1537,1537,25
1538,1538,16
1539,1539,18
1540,1540,56
1541,1541,54
1542,1542,26
1543,1543,14
1544,1544,24
1545,1545,42
1546,1546,50
1547,1547,17
1548,1548,54
1549,1549,54
1550,1550,59
1551,1551,34
1552,1552,10
1553,1553,11
1554,1554,8
1555,1555,14
1556,1556,21
1557,1557,3
1558,1558,17
1559,1559,52
1560,1560,10
1561,1561,39
1562,1562,2
1563,1563,45
1564,1564,33
1565,1565,3
1566,1566,4
1567,1567,39
1568,1568,4
1569,1569,42
1570,1570,30
1571,1571,30
1572,1572,28
1573,1573,7
1574,1574,49
1575,1575,51
1576,1576,19
1577,1577,41
1578,1578,54
1579,1579,25
1580,1580,38
1581,1581,55
1582,1582,8
1583,1583,52
1584,1584,44
1585,1585,49
1586,1586,5
1587,1587,9
1588,1588,52
1589,1589,47
1590,1590,37
1591,1591,56
1592,1592,0
1593,1593,24
1594,1594,21
1595,1595,53
1596,1596,20
1597,1597,26
1598,1598,25
1599,1599,51
1600,1600,30
1601,1601,13
1602,1602,8
1603,1603,5
1604,1604,42
1605,1605,13
1606,1606,20
1607,1607,15
1608,1608,52
1609,1609,21
1610,1610,51
1611,1611,1
1612,1612,57
1613,1613,57
1614,1614,53
1615,1615,54
1616,1616,29
1617,1617,35
1618,1618,21
1619,1619,4
1620,1620,21
1621,1621,53
1622,1622,33
1623,1623,31
1624,1624,43
1625,1625,51
1626,1626,54
1627,1627,42
1628,1628,54
1629,1629,33
1630,1630,19
1631,1631,47
1632,1632,34
1633,1633,32
1634,1634,39
1635,1635,19
1636,1636,31
1637,1637,38
1638,1638,2
1639,1639,13
1640,1640,45
1641,1641,49
1642,1642,37
1643,1643,34
1644,1644,57
1645,1645,28
1646,1646,56
1647,1647,31
1648,1648,21
1649,1649,20
1650,1650,24
1651,1651,55
1652,1652,28
1653,1653,37
1654,1654,45
1655,1655,30
1656,1656,41
1657,1657,30
1658,1658,10
1659,1659,49
1660,1660,11
1661,1661,42
1662,1662,11
1663,1663,22
1664,1664,40
1665,1665,15
1666,1666,1
1667,1667,13
1668,1668,45
1669,1669,5
1670,1670,20
1671,1671,15
1672,1672,19
1673,1673,26
1674,1674,35
1675,1675,25
1676,1676,26
1677,1677,34
1678,1678,40
1679,1679,47
1680,1680,51
1681,1681,45
1682,1682,30
1683,1683,37
1684,1684,55
1685,1685,24
1686,1686,42
1687,1687,6
1688,1688,38
1689,1689,46
1690,1690,17
1691,1691,53
1692,1692,42
1693,1693,41
1694,1694,50
1695,1695,48
1696,1696,40
1697,1697,13
1698,1698,28
1699,1699,48
1700,1700,56
1701,1701,47
1702,1702,9
1703,1703,41
1704,1704,26
1705,1705,7
1706,1706,17
1707,1707,21
1708,1708,43
1709,1709,48
1710,1710,32
1711,1711,16
1712,1712,20
1713,1713,30
1714,1714,11
1715,1715,5
1716,1716,24
1717,1717,54
1718,1718,10
1719,1719,41
1720,1720,20
1721,1721,59
1722,1722,39
1723,1723,17
1724,1724,5
1725,1725,15
1726,1726,11
1727,1727,10
1728,1728,10
1729,1729,25
1730,1730,3
1731,1731,2
1732,1732,18
1733,1733,12
1734,1734,44
1735,1735,10
1736,1736,43
1737,1737,19
1738,1738,52
1739,1739,26
1740,1740,28
1741,1741,32
1742,1742,17
1743,1743,23
1744,1744,41
1745,1745,47
1746,1746,31
1747,1747,58
1748,1748,3
1749,1749,8
1750,1750,50
1751,1751,54
1752,1752,26
1753,1753,49
1754,1754,12
1755,1755,49
1756,1756,30
1757,1757,29
1758,1758,59
1759,1759,53
1760,1760,38
1761,1761,38
1762,1762,13
1763,1763,10
1764,1764,16
1765,1765,28
1766,1766,30
1767,1767,38
1768,1768,29
1769,1769,1
1770,1770,35
1771,1771,9
1772,1772,24
1773,1773,26
1774,1774,47
1775,1775,0
1776,1776,42
1777,1777,33
1778,1778,30
1779,1779,19
1780,1780,18
1781,1781,46
1782,1782,17
1783,1783,51
1784,1784,0
1785,1785,31
1786,1786,31
1787,1787,37
1788,1788,3
1789,1789,53
1790,1790,13
1791,1791,42
1792,1792,6
1793,1793,12
1794,1794,19
1795,1795,18
1796,1796,51
1797,1797,35
1798,1798,12
1799,1799,48
1800,1800,32
1801,1801,13
1802,1802,34
1803,1803,25
1804,1804,39
1805,1805,34
1806,1806,18
1807,1807,18
1808,1808,15
1809,1809,14
1810,1810,32
1811,1811,6
1812,1812,37
1813,1813,57
1814,1814,17
1815,1815,51
1816,1816,28
1817,1817,2
1818,1818,16
1819,1819,49
1820,1820,39
1821,1821,30
1822,1822,19
1823,1823,22
1824,1824,50
1825,1825,29
1826,1826,32
1827,1827,29
1828,1828,6
1829,1829,58
1830,1830,34
1831,1831,21
1832,1832,49
1833,1833,14
1834,1834,34
1835,1835,14
1836,1836,33
1837,1837,52
1838,1838,33
1839,1839,48
1840,1840,12
1841,1841,12
1842,1842,46
1843,1843,13
1844,1844,5
1845,1845,42
1846,1846,28
1847,1847,15
1848,1848,34
1849,1849,59
1850,1850,58
1851,1851,47
1852,1852,14
1853,1853,16
1854,1854,7
1855,1855,3
1856,1856,59
1857,1857,32
1858,1858,51
1859,1859,26
1860,1860,30
1861,1861,56
1862,1862,58
1863,1863,44
1864,1864,1
1865,1865,51
1866,1866,33
1867,1867,4
1868,1868,50
1869,1869,12
1870,1870,34
1871,1871,35
1872,1872,25
1873,1873,11
1874,1874,8
1875,1875,19
1876,1876,38
1877,1877,48
1878,1878,22
1879,1879,55
1880,1880,14
1881,1881,21
1882,1882,59
1883,1883,22
1884,1884,41
1885,1885,28
1886,1886,34
1887,1887,4
1888,1888,41
1889,1889,51
1890,1890,15
1891,1891,34
1892,1892,52
1893,1893,35
1894,1894,12
1895,1895,29
1896,1896,9
1897,1897,12
1898,1898,0
1899,1899,14
1900,1900,31
1901,1901,14
1902,1902,50
1903,1903,51
1904,1904,1
1905,1905,5
1906,1906,6
1907,1907,18
1908,1908,44
1909,1909,58
1910,1910,59
1911,1911,58
1912,1912,53
1913,1913,10
1914,1914,37
1915,1915,45
1916,1916,24
1917,1917,21
1918,1918,45
1919,1919,46
1920,1920,46
1921,1921,33
1922,1922,38
1923,1923,4
1924,1924,44
1925,1925,15
1926,1926,4
1927,1927,29
1928,1928,51
1929,1929,43
1930,1930,15
1931,1931,40
1932,1932,38
1933,1933,36
1934,1934,53
1935,1935,31
1936,1936,59
1937,1937,7
1938,1938,59
1939,1939,58
1940,1940,24
1941,1941,54
1942,1942,25
1943,1943,29
1944,1944,22
1945,1945,39
1946,1946,18
1947,1947,26
1948,1948,57
1949,1949,36
1950,1950,55
1951,1951,33
1952,1952,58
1953,1953,35
1954,1954,21
1955,1955,41
1956,1956,22
1957,1957,22
1958,1958,50
1959,1959,50
1960,1960,49
1961,1961,50
1962,1962,49
1963,1963,50
1964,1964,22
1965,1965,24
1966,1966,44
1967,1967,10
1968,1968,2
1969,1969,58
1970,1970,2
1971,1971,53
1972,1972,31
1973,1973,4
1974,1974,54
1975,1975,22
1976,1976,46
1977,1977,2
1978,1978,50
1979,1979,48
1980,1980,57
1981,1981,16
1982,1982,26
1983,1983,12
1984,1984,7
1985,1985,8
1986,1986,18
1987,1987,16
1988,1988,9
1989,1989,33
1990,1990,32
1991,1991,24
1992,1992,54
1993,1993,33
1994,1994,15
1995,1995,12
1996,1996,26
